valid, idx, real, imag
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           2,      0,      0
0,           3,      0,      0
1,           0, -29250, -12973
1,           1, -26859, -17393
1,           2, -23812, -21375
1,           3, -20171, -24840
1,           0, -16043, -27686
1,           1, -11522, -29852
1,           2,  -6706, -31289
1,           3,  -1736, -31952
1,           0,   3276, -31831
1,           1,   8220, -30924
1,           2,  12950, -29261
1,           3,  17372, -26873
1,           0,  21356, -23829
1,           1,  24824, -20191
1,           2,  27672, -16065
1,           3,  29847, -11534
1,           0,  31285,  -6717
1,           1,  31950,  -1749
1,           2,  31830,   3276
1,           3,  30926,   8208
1,           0,  29265,  12938
1,           1,  26884,  17351
1,           2,  23835,  21347
1,           3,  20208,  24808
1,           0,  16075,  27666
1,           1,  11555,  29838
1,           2,   6741,  31280
1,           3,   1772,  31949
1,           0,  -3265,  31831
1,           1,  -8197,  30930
1,           2, -12939,  29265
1,           3, -17352,  26884
1,           0, -21348,  23835
1,           1, -24809,  20208
1,           2, -27667,  16075
1,           3, -29839,  11555
1,           0, -31267,   6800
1,           1, -31947,   1821
1,           2, -31839,  -3192
1,           3, -30947,  -8138
1,           0,   2072,    802
1,           1,   1820,   1258
1,           2,   1529,   1708
1,           3,   1148,   2130
1,           0,    652,   2466
1,           1,     57,   2549
1,           2,   -496,   2292
1,           3,   -807,   1673
1,           0,   -754,    923
1,           1,   -403,    306
1,           2,    -28,     11
1,           3,    196,    -37
1,           0,    198,     10
1,           1,     95,     28
1,           2,    -27,    -16
1,           3,    -59,    -57
1,           0,    -41,    -64
1,           1,    -11,    -31
1,           2,     -4,    -33
1,           3,      4,    -32
1,           0,     11,    -31
1,           1,     18,    -27
1,           2,     24,    -23
1,           3,     28,    -17
1,           0,     31,     -9
1,           1,     32,     -2
1,           2,     32,      6
1,           3,     30,     14
1,           0,     26,     22
1,           1,     20,     27
1,           2,     14,     32
1,           3,      6,     34
1,           0,     -3,     36
1,           1,    -11,     34
1,           2,    -20,     32
1,           3,    -27,     26
1,           0,    -33,     20
1,           1,    -37,     12
1,           2,    -39,      3
1,           3,    -39,     -6
1,           0,    -38,    -15
1,           1,    -33,    -23
1,           2,    -28,    -31
1,           3,    -20,    -37
1,           0,    -11,    -40
1,           1,     -2,    -43
1,           2,      8,    -43
1,           3,     18,    -39
1,           0,     27,    -35
1,           1,     34,    -27
1,           2,     40,    -19
1,           3,     43,     -9
1,           0,     44,      2
1,           1,     42,     12
1,           2,     38,     22
1,           3,     32,     30
1,           0,     24,     38
1,           1,     14,     43
1,           2,      4,     46
1,           3,     -7,     46
1,           0,    -19,     44
1,           1,    -29,     39
1,           2,    -37,     32
1,           3,    -44,     22
1,           0,    -50,     12
1,           1,    -52,      0
1,           2,    -52,    -12
1,           3,    -48,    -23
1,           0,    -42,    -35
1,           1,    -33,    -43
1,           2,    -23,    -50
1,           3,    -11,    -54
1,           0,      2,    -56
1,           1,     15,    -54
1,           2,     28,    -49
1,           3,     38,    -41
1,           0,     47,    -31
1,           1,     53,    -19
1,           2,     57,     -7
1,           3,     57,      7
1,           0,     54,     20
1,           1,     47,     33
1,           2,     40,     44
1,           3,     28,     53
1,           0,     15,     59
1,           1,      0,     61
1,           2,    -15,     61
1,           3,    -28,     55
1,           0,    -42,     49
1,           1,    -52,     38
1,           2,    -61,     26
1,           3,    -66,     11
1,           0,    -67,     -5
1,           1,    -64,    -20
1,           2,    -60,    -35
1,           3,    -50,    -48
1,           0,    -38,    -59
1,           1,    -23,    -66
1,           2,     -8,    -72
1,           3,      9,    -72
1,           0,     26,    -68
1,           1,     40,    -60
1,           2,     55,    -50
1,           3,     65,    -35
1,           0,     72,    -20
1,           1,     74,     -3
1,           2,     74,     16
1,           3,     69,     33
1,           0,     59,     49
1,           1,     46,     61
1,           2,     31,     72
1,           3,     13,     77
1,           0,     -6,     79
1,           1,    -25,     77
1,           2,    -43,     71
1,           3,    -58,     59
1,           0,    -72,     44
1,           1,    -80,     27
1,           2,    -86,      8
1,           3,    -86,    -13
1,           0,    -82,    -33
1,           1,    -72,    -51
1,           2,    -60,    -68
1,           3,    -43,    -80
1,           0,    -24,    -89
1,           1,     -3,    -92
1,           2,     19,    -92
1,           3,     40,    -84
1,           0,     59,    -74
1,           1,     74,    -58
1,           2,     87,    -39
1,           3,     93,    -17
1,           0,     97,      5
1,           1,     93,     28
1,           2,     85,     50
1,           3,     71,     69
1,           0,     54,     85
1,           1,     32,     96
1,           2,      9,    102
1,           3,    -15,    102
1,           0,    -39,     98
1,           1,    -61,     85
1,           2,    -81,     70
1,           3,    -96,     50
1,           0,   -107,     26
1,           1,   -111,      1
1,           2,   -110,    -25
1,           3,   -101,    -50
1,           0,    -88,    -73
1,           1,    -70,    -92
1,           2,    -47,   -107
1,           3,    -21,   -115
1,           0,      6,   -119
1,           1,     34,   -113
1,           2,     61,   -105
1,           3,     83,    -88
1,           0,    102,    -66
1,           1,    115,    -41
1,           2,    123,    -13
1,           3,    122,     16
