valid, idx, real, imag
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
0,           0,      0,      0
0,           1,      0,      0
1,           0,   -805,  14828
1,           1,   8879,  -3717
1,           0,   -675,   3630
1,           1,  17647,   5713
1,           0,    870,   4187
1,           1,   5189,  17839
1,           0,  -4817,  -1555
1,           1, -10640,   5836
1,           0,   3871, -14318
1,           1,  -2114, -11642
1,           0,  22534,  -7325
1,           1,  13309,  -8091
1,           0,  20072,  13037
1,           1,  13562,    688
1,           0,   2867,  13990
1,           1,  14420,    -86
1,           0,   2527,   1842
1,           1,  22542,   8458
1,           0,  11583,   4990
1,           1,  13141,  26682
1,           0,   5539,  13409
1,           1, -11572,  23188
1,           0,  -2194,   6430
1,           1, -15861,   -817
1,           0,   5435,   1053
1,           1,   1556,  -9593
1,           0,   7786,  10722
1,           1,   9277,   -873
1,           0,  -5221,  10978
1,           1,   7630,    541
1,           0,  -5177,  -5707
1,           1,  15508,   1268
1,           0,  14280,  -7735
1,           1,  18155,  17115
1,           0,  20358,  11328
1,           1,   -252,  26055
1,           0,   6642,  20396
1,           1, -13263,  10569
1,           0,   -108,  15010
1,           1,  -2156,  -1649
1,           0,   -563,  16775
1,           1,   6273,   7303
1,           0, -12772,  17081
1,           1,  -2799,  12058
1,           0, -19490,  -1897
1,           1,  -4976,   2374
1,           0,    -60, -16383
1,           1,   4910,   2346
1,           0,  19429,  -1963
1,           1,   2788,  12023
1,           0,  12778,  17028
1,           1,  -6290,   7298
1,           0,    560,  16758
1,           1,   2116,  -1673
1,           0,    106,  14985
1,           1,  13262,  10519
1,           0,  -6614,  20392
1,           1,    297,  26050
1,           0, -20349,  11383
1,           1, -18150,  17175
1,           0, -14345,  -7695
1,           1, -15565,   1296
1,           0,   5107,  -5729
1,           1,  -7682,    532
1,           0,   5197,  10942
1,           1,  -9323,   -876
1,           0,  -7805,  10718
1,           1,  -1630,  -9621
1,           0,  -5484,   1017
1,           1,  15821,   -898
1,           0,   2184,   6365
1,           1,  11620,  23108
1,           0,  -5504,  13384
1,           1, -13083,  26687
1,           0, -11576,   5001
1,           1, -22545,   8492
1,           0,  -2547,   1828
1,           1, -14442,    -77
1,           0,  -2857,  13977
1,           1, -13578,    701
1,           0, -20072,  13063
1,           1, -13360,  -8083
1,           0, -22592,  -7321
1,           1,   2043, -11685
1,           0,  -3947, -14368
1,           1,  10626,   5744
1,           0,   4804,  -1632
1,           1,  -5154,  17791
1,           0,   -859,   4140
1,           1, -17637,   5695
1,           0,    680,   3583
1,           1,  -8886,  -3752
1,           0,    841,  14778
1,           1,  -4240,   4304
1,           0, -18212,  20501
1,           1, -13987,   5475
1,           0, -32766,     50
1,           1, -14038,  -5446
1,           0, -18333, -20484
1,           1,  -4300,  -4367
1,           0,    762, -14879
1,           1,  -8882,   3683
1,           0,    666,  -3678
1,           1, -17663,  -5723
1,           0,   -882,  -4236
1,           1,  -5219, -17890
1,           0,   4828,   1480
1,           1,  10656,  -5922
1,           0,  -3808,  14264
1,           1,   2181,  11596
1,           0, -22473,   7343
1,           1, -13258,   8101
1,           0, -20074, -13013
1,           1, -13546,   -681
1,           0,  -2875, -14015
1,           1, -14396,     83
1,           0,  -2509,  -1856
1,           1, -22546,  -8425
1,           0, -11581,  -4985
1,           1, -13190, -26683
1,           0,  -5565, -13440
1,           1,  11540, -23260
1,           0,   2200,  -6494
1,           1,  15900,    729
1,           0,  -5389,  -1086
1,           1,  -1488,   9562
1,           0,  -7756, -10736
1,           1,  -9233,    863
1,           0,   5241, -11016
1,           1,  -7580,   -549
1,           0,   5246,   5678
1,           1, -15452,  -1245
1,           0, -14219,   7768
1,           1, -18149, -17070
1,           0, -20363, -11278
1,           1,    215, -26054
1,           0,  -6663, -20402
1,           1,  13266, -10614
1,           0,    109, -15035
1,           1,   2193,   1625
1,           0,    564, -16792
1,           1,  -6255,  -7303
1,           0,  12767, -17131
1,           1,   2817, -12094
1,           0,  19549,   1822
1,           1,   5039,  -2405
1,           0,    160,  16382
1,           1,  -4845,  -2321
1,           0, -19371,   2021
1,           1,  -2766, -11990
1,           0, -12769, -16987
1,           1,   6309,  -7286
1,           0,   -552, -16743
1,           1,  -2073,   1694
1,           0,   -111, -14961
1,           1, -13267, -10465
1,           0,   6585, -20389
1,           1,   -335, -26051
1,           0,  20344, -11439
1,           1,  18149, -17228
1,           0,  14408,   7654
1,           1,  15621,  -1326
1,           0,  -5038,   5753
1,           1,   7732,   -523
1,           0,  -5169, -10909
1,           1,   9367,    885
1,           0,   7839, -10703
1,           1,   1691,   9651
1,           0,   5531,   -983
1,           1, -15778,    989
1,           0,  -2173,  -6302
1,           1, -11647, -23042
1,           0,   5478, -13354
1,           1,  13038, -26684
1,           0,  11573,  -5011
1,           1,  22546,  -8522
1,           0,   2566,  -1813
1,           1,  14463,     79
1,           0,   2849, -13954
1,           1,  13593,   -704
1,           0,  20065, -13097
1,           1,  13414,   8065
1,           0,  22652,   7301
1,           1,  -1969,  11733
1,           0,   4011,  14420
1,           1, -10609,  -5660
1,           0,  -4792,   1709
1,           1,   5111, -17744
1,           0,    847,  -4093
1,           1,  17625,  -5691
1,           0,   -689,  -3535
1,           1,   8890,   3780
1,           0,   -889, -14728
1,           1,   4207,  -4275
1,           0,  18150, -20506
1,           1,  13961,  -5485
1,           0,  32765,   -120
1,           1,  14066,   5425
1,           0,  18403,  20466
1,           1,   4330,   4399
1,           0,   -722,  14928
1,           1,   8878,  -3651
1,           0,   -662,   3726
1,           1,  17674,   5727
1,           0,    893,   4282
1,           1,   5254,  17938
1,           0,  -4842,  -1403
1,           1, -10669,   6014
1,           0,   3737, -14213
1,           1,  -2257, -11547
1,           0,  22411,  -7362
1,           1,  13205,  -8113
1,           0,  20069,  12994
1,           1,  13529,    678
1,           0,   2883,  14032
1,           1,  14373,    -88
1,           0,   2488,   1870
1,           1,  22543,   8394
1,           0,  11588,   4972
1,           1,  13253,  26674
1,           0,   5599,  13464
1,           1, -11491,  23339
1,           0,  -2211,   6559
1,           1, -15941,   -643
1,           0,   5341,   1122
1,           1,   1421,  -9533
1,           0,   7730,  10746
1,           1,   9187,   -857
1,           0,  -5265,  11051
1,           1,   7529,    557
1,           0,  -5316,  -5653
1,           1,  15395,   1216
1,           0,  14154,  -7809
1,           1,  18148,  17017
1,           0,  20366,  11225
1,           1,   -170,  26058
1,           0,   6699,  20401
1,           1, -13262,  10668
1,           0,   -110,  15058
1,           1,  -2226,  -1602
1,           0,   -560,  16807
1,           1,   6241,   7310
1,           0, -12771,  17176
1,           1,  -2836,  12128
1,           0, -19609,  -1756
1,           1,  -5106,   2432
1,           0,   -261, -16383
1,           1,   4777,   2294
1,           0,  19310,  -2088
1,           1,   2743,  11952
1,           0,  12778,  16931
1,           1,  -6325,   7288
1,           0,    556,  16725
1,           1,   2039,  -1720
1,           0,    109,  14935
1,           1,  13266,  10414
1,           0,  -6549,  20388
1,           1,    386,  26047
1,           0, -20339,  11488
1,           1, -18149,  17280
1,           0, -14472,  -7615
1,           1, -15677,   1354
1,           0,   4966,  -5784
1,           1,  -7783,    513
1,           0,   5149,  10870
1,           1,  -9413,   -885
1,           0,  -7866,  10692
1,           1,  -1765,  -9680
1,           0,  -5579,    948
1,           1,  15740,  -1072
1,           0,   2163,   6236
1,           1,  11690,  22961
