time_ps,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
24402000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24403000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24405000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24407000000,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
24408000000,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
24410000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24412000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24413000000,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24415000000,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
24417000000,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
24418000000,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1
24420000000,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4
24422000000,4,4,4,4,4,4,3,3,3,3,2,3,2,2,1,1
24423000000,1,0,0,0,0,-1,-2,-2,-3,-3,-4,-5,-5,-6,-6,-7
24425000000,-8,-8,-9,-9,-10,-11,-11,-12,-12,-13,-13,-13,-13,-14,-14,-14
24427000000,-15,-14,-14,-14,-14,-14,-13,-13,-12,-12,-11,-11,-10,-9,-8,-7
24428000000,-6,-5,-3,-2,-1,0,1,2,4,6,7,9,11,12,14,15
24430000000,17,19,20,22,23,24,26,27,28,29,30,31,31,32,32,33
24432000000,33,33,33,32,32,31,30,29,27,27,25,23,21,19,16,14
24433000000,11,8,6,2,0,-3,-7,-11,-14,-18,-22,-25,-29,-34,-37,-41
24435000000,-45,-48,-52,-55,-58,-62,-65,-67,-70,-73,-74,-76,-77,-79,-80,-80
24437000000,-81,-80,-79,-79,-77,-75,-74,-71,-67,-65,-61,-56,-52,-47,-40,-34
24438000000,-29,-22,-14,-9,0,7,13,22,31,38,47,57,63,73,82,89
24440000000,97,106,113,121,129,134,141,148,152,157,162,165,168,171,172,173
24442000000,173,173,171,168,166,161,155,151,143,134,128,118,106,98,84,70
24443000000,60,44,28,16,0,-19,-32,-51,-70,-84,-103,-123,-137,-157,-176,-190
24445000000,-209,-227,-239,-256,-272,-284,-298,-310,-319,-330,-339,-345,-351,-356,-358,-360
24447000000,-359,-355,-354,-347,-338,-332,-320,-305,-295,-276,-256,-242,-218,-192,-174,-145
24448000000,-114,-93,-59,-24,0,35,73,99,137,176,203,242,281,308,346,383
24450000000,409,444,477,501,531,559,579,603,625,640,657,670,679,686,690,693
24452000000,690,683,678,665,646,635,610,581,561,525,485,458,411,361,327,271
24453000000,213,173,109,43,0,-69,-140,-188,-260,-332,-382,-455,-526,-597,-645,-713
24455000000,-778,-824,-884,-942,-981,-1032,-1078,-1110,-1148,-1180,-1203,-1225,-1241,-1253,-1257,-1255
24457000000,-1254,-1240,-1218,-1204,-1169,-1128,-1100,-1046,-985,-944,-870,-791,-737,-647,-551,-485
24458000000,-381,-271,-196,-80,39,120,244,369,455,581,707,793,917,1039,1122,1239
24460000000,1351,1428,1531,1628,1695,1780,1857,1911,1973,2025,2062,2097,2121,2139,2143,2137
24462000000,2133,2106,2065,2039,1978,1905,1856,1763,1657,1540,1461,1325,1179,1080,918,748
24463000000,632,449,259,130,-67,-269,-407,-613,-820,-961,-1167,-1371,-1509,-1707,-1899,-2029
24465000000,-2209,-2381,-2497,-2652,-2794,-2891,-3013,-3119,-3191,-3272,-3336,-3379,-3413,-3429,-3440,-3425
24467000000,-3390,-3366,-3298,-3211,-3151,-3030,-2891,-2796,-2625,-2437,-2309,-2092,-1860,-1702,-1445,-1176
24468000000,-993,-705,-408,-206,102,417,630,949,1268,1485,1802,2114,2325,2626,2917,3114
24470000000,3386,3645,3818,4049,4262,4404,4583,4738,4871,4958,5048,5111,5152,5170,5159,5149
24472000000,5090,5001,4939,4801,4635,4520,4307,4066,3900,3616,3307,3095,2748,2380,2129,1730
24473000000,1315,1033,596,149,-152,-611,-1074,-1386,-1849,-2309,-2619,-3068,-3506,-3801,-4217,-4615
24475000000,-4881,-5246,-5587,-5813,-6110,-6377,-6553,-6767,-6946,-7062,-7180,-7261,-7310,-7325,-7300,-7277
24477000000,-7184,-7049,-6952,-6750,-6508,-6339,-6031,-5687,-5449,-5044,-4608,-4308,-3819,-3304,-2952,-2396
24478000000,-1819,-1429,-824,-208,207,837,1470,2102,2527,3151,3766,4176,4767,5339,5718,6251
24480000000,6755,7087,7539,7953,8223,8571,8876,9070,9299,9478,9588,9683,9726,9742,9696,9597
24482000000,9517,9327,9084,8908,8577,8196,7927,7465,6956,6604,6024,5405,4980,4302,3593,3111
24483000000,2359,1587,1065,267,-539,-1082,-1895,-2706,-3247,-4044,-4826,-5344,-6093,-6814,-7288,-7957
24485000000,-8588,-8998,-9557,-10070,-10398,-10824,-11195,-11425,-11697,-11907,-12029,-12132,-12171,-12175,-12102,-11962
