time_ps,I,Q
125436000000,0,0
125446000000,0,0
125476000000,0,0
125486000000,0,0
125516000000,0,0
125526000000,0,0
125556000000,0,0
125566000000,0,0
125596000000,0,0
125606000000,0,0
125636000000,0,0
125646000000,0,0
125676000000,0,0
125686000000,0,0
125716000000,0,0
125726000000,0,0
125756000000,0,0
125766000000,0,0
125796000000,0,0
125806000000,0,0
125836000000,0,0
125846000000,0,0
125876000000,0,0
125886000000,0,0
125916000000,0,0
125926000000,0,0
125956000000,0,0
125966000000,0,0
125996000000,0,0
126006000000,0,0
126036000000,0,0
126046000000,0,0
126076000000,0,0
126086000000,0,0
126116000000,0,0
126126000000,0,0
126156000000,0,0
126166000000,0,0
126196000000,0,0
126206000000,0,0
126236000000,0,0
126246000000,0,0
126276000000,0,0
126286000000,0,0
126316000000,0,0
126326000000,0,0
126356000000,0,0
126366000000,0,0
126396000000,0,0
126406000000,0,0
126436000000,0,0
126446000000,0,0
126476000000,0,0
126486000000,0,0
126516000000,0,0
126526000000,0,0
126556000000,0,0
126566000000,0,0
126596000000,0,0
126606000000,0,0
126636000000,0,0
126646000000,0,0
126676000000,0,0
126686000000,0,0
126716000000,0,0
126726000000,0,0
126756000000,0,0
126766000000,0,0
126796000000,0,0
126806000000,0,0
126836000000,0,0
126846000000,0,0
126876000000,0,0
126886000000,0,0
126916000000,0,0
126926000000,0,0
126956000000,0,0
126966000000,0,0
126996000000,0,0
127006000000,0,0
127036000000,0,0
127046000000,0,0
127076000000,0,0
127086000000,0,0
127116000000,0,0
127126000000,0,0
127156000000,0,0
127166000000,0,0
127196000000,0,0
127206000000,0,0
127236000000,0,0
127246000000,0,0
127276000000,0,0
127286000000,0,0
127316000000,0,0
127326000000,0,0
127356000000,0,0
127366000000,0,0
127396000000,0,0
127406000000,0,0
127436000000,0,0
127446000000,0,0
127476000000,0,0
127486000000,0,0
127516000000,0,0
127526000000,0,0
127556000000,0,0
127566000000,0,0
127596000000,0,0
127606000000,0,0
127636000000,0,0
127646000000,0,0
127676000000,0,0
127686000000,0,0
127716000000,0,0
127726000000,0,0
127756000000,0,0
127766000000,0,0
127796000000,0,0
127806000000,0,0
127836000000,0,0
127846000000,0,0
127876000000,0,0
127886000000,0,0
127916000000,0,0
127926000000,0,0
127956000000,0,0
127966000000,0,0
127996000000,0,0
128006000000,0,0
128036000000,0,0
128046000000,0,0
128076000000,0,0
128086000000,0,0
128116000000,0,0
128126000000,0,0
128156000000,0,0
128166000000,0,0
128196000000,0,0
128206000000,0,0
128236000000,0,0
128246000000,0,0
128276000000,0,0
128286000000,0,0
128316000000,0,0
128326000000,0,0
128356000000,0,0
128366000000,0,0
128396000000,0,0
128406000000,0,0
128436000000,0,0
128446000000,0,0
128476000000,0,0
128486000000,0,0
128516000000,0,0
128526000000,0,0
128556000000,0,0
128566000000,0,0
128596000000,0,0
128606000000,0,0
128636000000,0,0
128646000000,0,0
128676000000,0,0
128686000000,0,0
128716000000,0,0
128726000000,0,0
128756000000,0,0
128766000000,0,0
128796000000,0,0
128806000000,0,0
128836000000,0,0
128846000000,0,0
128876000000,0,0
128886000000,0,0
128916000000,0,0
128926000000,0,0
128956000000,0,0
128966000000,0,0
128996000000,0,-1
129006000000,0,0
129036000000,0,0
129046000000,0,0
129076000000,0,0
129086000000,0,0
129116000000,0,0
129126000000,0,0
129156000000,0,0
129166000000,0,0
129196000000,0,1
129206000000,1,3
129236000000,2,4
129246000000,3,7
129276000000,5,11
129286000000,8,17
129316000000,13,26
129326000000,19,38
129356000000,26,54
129366000000,35,74
129396000000,47,100
129406000000,61,128
129436000000,80,163
129446000000,102,204
129476000000,124,250
129486000000,145,298
129516000000,163,343
129526000000,180,383
129556000000,201,415
129566000000,219,441
129596000000,231,461
129606000000,236,474
129636000000,231,478
129646000000,226,476
129676000000,224,472
129686000000,227,469
129716000000,234,468
129726000000,237,473
129756000000,235,477
129766000000,231,480
129796000000,227,478
129806000000,226,471
129836000000,229,468
129846000000,235,470
129876000000,237,474
129886000000,235,478
129916000000,229,479
129926000000,225,477
129956000000,227,471
129966000000,231,469
129996000000,235,470
130006000000,238,476
130036000000,233,481
130046000000,229,477
130076000000,226,475
130086000000,226,471
130116000000,233,469
130126000000,237,473
130156000000,235,477
130166000000,231,479
130196000000,226,477
130206000000,226,469
130236000000,226,465
130246000000,226,458
130276000000,219,440
130286000000,203,412
130316000000,180,375
130326000000,155,329
130356000000,135,280
130366000000,115,233
